customer_id,category,price,discount,quantity,payment_method,order_date,delivery_time,region,returned,total_amount,shipping_cost,profit_margin,age,gender,Month,age_group
C10474,Beauty,13.11,0.15,1,Credit Card,2024-08-17,6,West,No,11.14,4.4,0.61,51,Female,2024-08,46-55
C11082,Home,297.65,0.1,1,UPI,2023-12-09,4,South,No,267.88,7.49,67.52,20,Female,2023-12,18-25
C12558,Grocery,6.2,0.0,1,COD,2024-03-31,4,West,No,6.2,2.5,-2.0,35,Male,2024-03,26-35
C17849,Home,36.05,0.0,2,COD,2025-02-03,4,North,No,72.1,7.24,12.95,36,Female,2025-02,36-45
C12047,Fashion,47.26,0.15,1,UPI,2023-10-31,5,South,No,40.17,4.94,9.12,48,Male,2023-10,46-55
C17643,Electronics,313.25,0.0,1,Debit Card,2024-09-27,8,Central,No,313.25,8.96,28.63,53,Male,2024-09,46-55
C12747,Grocery,13.7,0.1,3,COD,2025-04-11,4,West,No,36.99,4.09,-1.13,62,Male,2025-04,56-65
C10975,Toys,9.07,0.0,3,Debit Card,2024-01-11,5,South,No,27.21,6.05,4.83,30,Female,2024-01,26-35
C11806,Beauty,12.45,0.0,2,Credit Card,2025-05-03,5,West,No,24.9,5.18,6.02,58,Male,2025-05,56-65
C10189,Toys,7.33,0.0,1,Credit Card,2025-03-19,5,North,No,7.33,3.86,-0.93,55,Female,2025-03,46-55
C17101,Toys,53.85,0.05,1,Credit Card,2025-03-12,5,South,No,51.16,5.96,14.5,35,Female,2025-03,26-35
C12734,Grocery,16.12,0.0,1,COD,2025-07-14,8,East,No,16.12,4.76,-3.47,66,Female,2025-07,
C13005,Home,195.87,0.0,4,Credit Card,2024-12-31,5,West,No,783.48,10.37,209.0,43,Female,2024-12,36-45
C14658,Beauty,8.29,0.0,1,PayPal,2024-09-16,4,North,No,8.29,2.98,0.75,67,Male,2024-09,
C11899,Electronics,402.13,0.0,2,PayPal,2024-01-24,5,South,No,804.26,9.93,86.58,40,Female,2024-01,36-45
C17734,Grocery,19.94,0.05,1,Debit Card,2023-12-29,6,East,No,18.94,4.96,-3.44,55,Female,2023-12,46-55
C11267,Grocery,6.52,0.0,2,Debit Card,2023-11-23,5,South,No,13.04,4.73,-3.69,60,Male,2023-11,56-65
C16975,Toys,5.38,0.1,1,COD,2023-12-18,3,Central,No,4.84,3.91,-1.97,57,Female,2023-12,56-65
C11528,Home,167.21,0.0,4,Wallet,2023-12-06,3,North,No,668.84,8.88,178.4,37,Female,2023-12,36-45
C13202,Home,134.37,0.15,1,Wallet,2024-10-30,3,Central,No,114.21,6.65,25.33,53,Male,2024-10,46-55
C13556,Home,122.85,0.0,3,COD,2024-08-16,4,North,No,368.55,7.27,95.92,69,Female,2024-08,
C13890,Fashion,14.91,0.0,1,UPI,2024-12-01,5,West,No,14.91,4.93,0.29,69,Male,2024-12,
C10646,Beauty,10.46,0.0,1,Credit Card,2023-11-13,4,North,No,10.46,3.14,1.57,25,Other,2023-11,18-25
C16164,Electronics,368.67,0.0,1,Debit Card,2024-06-26,6,West,No,368.67,9.91,34.33,36,Male,2024-06,36-45
C12888,Grocery,13.52,0.1,1,Debit Card,2025-06-24,5,West,No,12.17,2.07,-1.1,22,Female,2025-06,18-25
C16310,Home,116.53,0.05,1,Credit Card,2024-01-22,4,West,No,110.7,6.97,24.03,59,Male,2024-01,56-65
C15393,Grocery,20.24,0.0,1,COD,2025-06-23,5,North,No,20.24,4.74,-3.12,65,Male,2025-06,56-65
C12435,Sports,175.75,0.15,1,Debit Card,2025-09-03,5,West,No,149.39,6.15,38.67,58,Female,2025-09,56-65
C10600,Fashion,20.91,0.0,1,UPI,2024-02-14,4,North,Yes,20.91,4.04,3.28,50,Male,2024-02,46-55
C12363,Fashion,13.43,0.0,4,PayPal,2023-12-15,4,South,No,53.72,6.26,12.54,30,Male,2023-12,26-35
C12061,Grocery,3.96,0.2,1,PayPal,2023-11-22,5,East,No,3.17,3.06,-2.81,44,Female,2023-11,36-45
C10241,Toys,8.5,0.0,2,Debit Card,2024-05-30,8,South,No,17.0,3.51,3.29,25,Female,2024-05,18-25
C12041,Fashion,150.12,0.0,3,Debit Card,2024-10-18,4,West,No,450.36,8.26,149.37,28,Female,2024-10,26-35
C12824,Electronics,97.95,0.1,1,Debit Card,2024-09-21,6,East,No,88.16,6.72,3.86,53,Male,2024-09,46-55
C17513,Sports,217.48,0.0,1,Credit Card,2025-02-24,6,South,No,217.48,7.67,57.57,24,Male,2025-02,18-25
C12612,Fashion,16.18,0.0,2,Credit Card,2024-12-06,4,South,No,32.36,4.73,6.6,69,Male,2024-12,
C17041,Fashion,26.06,0.05,3,COD,2023-12-21,5,West,No,74.27,6.24,19.75,46,Other,2023-12,46-55
C11363,Sports,23.23,0.3,2,Credit Card,2025-02-13,4,Central,No,32.52,5.1,4.66,31,Male,2025-02,26-35
C16235,Sports,20.73,0.0,2,COD,2024-05-14,5,West,No,41.46,4.31,8.13,20,Female,2024-05,18-25
C15486,Home,23.16,0.0,1,UPI,2023-12-20,3,Central,No,23.16,4.81,1.67,45,Male,2023-12,36-45
C17099,Grocery,6.53,0.0,4,Credit Card,2024-06-28,3,North,No,26.12,6.21,-4.12,68,Male,2024-06,
C11478,Sports,82.93,0.05,1,Wallet,2024-03-13,4,West,No,78.78,8.3,15.33,59,Female,2024-03,56-65
C17595,Grocery,3.95,0.0,1,Wallet,2025-01-23,4,West,No,3.95,2.63,-2.31,38,Female,2025-01,36-45
C12556,Fashion,137.66,0.0,1,UPI,2025-04-20,4,South,No,137.66,7.01,41.17,50,Female,2025-04,46-55
C10775,Fashion,48.41,0.1,4,Credit Card,2023-09-23,6,West,No,174.28,8.27,52.73,29,Female,2023-09,26-35
C14014,Electronics,753.1,0.05,1,Debit Card,2024-06-08,4,South,No,715.44,10.44,75.41,28,Male,2024-06,26-35
C10034,Fashion,12.92,0.0,3,Wallet,2025-08-04,4,South,No,38.76,6.83,6.74,20,Female,2025-08,18-25
C16349,Grocery,3.04,0.0,1,Debit Card,2024-06-12,4,South,No,3.04,1.93,-1.69,59,Female,2024-06,56-65
C13152,Grocery,25.7,0.1,4,Credit Card,2024-06-18,3,North,No,92.52,9.09,-1.69,32,Male,2024-06,26-35
C11955,Toys,18.51,0.05,1,PayPal,2023-12-20,5,South,No,17.58,3.71,3.32,62,Female,2023-12,56-65
C11585,Beauty,71.36,0.15,1,Debit Card,2024-07-05,7,South,No,60.66,5.34,21.96,34,Male,2024-07,26-35
C13943,Toys,5.12,0.0,1,UPI,2025-02-09,6,West,No,5.12,1.8,0.25,59,Female,2025-02,56-65
C17555,Beauty,3.65,0.0,1,UPI,2024-07-08,4,South,No,3.65,1.97,-0.33,54,Female,2024-07,46-55
C13073,Electronics,857.18,0.0,3,COD,2024-08-10,4,West,No,2571.54,12.41,296.17,61,Female,2024-08,56-65
C11021,Home,168.01,0.05,2,Debit Card,2024-01-20,6,East,No,319.22,7.51,81.87,57,Male,2024-01,56-65
C13461,Beauty,43.33,0.0,3,Debit Card,2025-07-02,4,Central,No,129.99,6.28,52.22,53,Female,2025-07,46-55
C12613,Fashion,22.26,0.0,1,Wallet,2025-02-22,7,East,No,22.26,3.96,3.83,27,Male,2025-02,26-35
C15225,Fashion,5.15,0.05,1,Credit Card,2023-09-12,5,East,No,4.89,3.77,-2.06,36,Male,2023-09,36-45
C13843,Fashion,37.42,0.1,5,COD,2024-09-26,3,Central,No,168.39,8.25,50.69,29,Male,2024-09,26-35
C17989,Beauty,115.85,0.15,1,Debit Card,2025-05-02,5,West,No,98.47,6.58,37.73,40,Female,2025-05,36-45
C11500,Electronics,823.81,0.0,1,COD,2025-05-08,4,South,No,823.81,8.88,89.98,32,Female,2025-05,26-35
C14798,Sports,17.35,0.1,1,Debit Card,2025-02-25,5,West,Yes,15.62,4.69,-0.0,41,Male,2025-02,36-45
C16545,Home,37.39,0.2,1,Credit Card,2025-02-04,5,North,No,29.91,3.68,4.69,49,Male,2025-02,46-55
C16873,Fashion,23.33,0.0,5,Credit Card,2025-05-02,5,Central,No,116.65,7.12,33.71,38,Male,2025-05,36-45
C15675,Toys,36.89,0.15,1,Credit Card,2024-11-29,6,East,No,31.36,3.99,8.55,47,Female,2024-11,46-55
C10161,Home,239.28,0.2,1,Credit Card,2024-11-14,4,South,No,191.42,8.6,45.0,69,Male,2024-11,
C14297,Home,36.94,0.0,1,COD,2023-10-23,7,South,No,36.94,5.01,5.33,49,Male,2023-10,46-55
C11981,Toys,16.98,0.0,2,Credit Card,2024-11-21,4,North,No,33.96,4.16,9.42,19,Male,2024-11,18-25
C10995,Home,101.74,0.0,2,Wallet,2024-06-08,6,East,No,203.48,7.89,49.08,54,Female,2024-06,46-55
C16413,Toys,12.52,0.2,1,Credit Card,2024-07-11,3,North,No,10.02,2.22,1.79,51,Male,2024-07,46-55
C14911,Home,111.08,0.0,1,Debit Card,2024-08-06,5,North,No,111.08,7.66,23.44,39,Male,2024-08,36-45
C13342,Fashion,22.03,0.05,3,COD,2023-12-23,8,East,No,62.79,5.86,16.12,50,Female,2023-12,46-55
C14551,Beauty,21.58,0.05,3,UPI,2023-12-04,3,North,No,61.5,5.64,22.04,60,Male,2023-12,56-65
C17629,Fashion,61.89,0.05,1,COD,2025-01-21,4,South,No,58.8,7.65,12.93,28,Male,2025-01,26-35
C13798,Electronics,70.98,0.0,2,UPI,2025-08-08,4,West,No,141.96,6.85,10.19,46,Female,2025-08,46-55
C11275,Electronics,1161.68,0.0,1,Credit Card,2024-10-29,4,South,No,1161.68,7.91,131.49,69,Female,2024-10,
C11016,Fashion,13.88,0.0,1,Debit Card,2025-05-07,4,South,No,13.88,5.31,-0.45,63,Male,2025-05,56-65
C17869,Sports,53.93,0.0,1,Debit Card,2025-06-03,5,North,No,53.93,5.21,10.97,57,Female,2025-06,56-65
C16439,Toys,14.51,0.0,1,Credit Card,2025-08-04,5,East,No,14.51,4.15,1.65,48,Male,2025-08,46-55
C17892,Toys,2.82,0.2,3,Credit Card,2025-05-06,5,West,No,6.77,3.43,-0.72,24,Other,2025-05,18-25
C16863,Fashion,44.08,0.05,4,Wallet,2023-11-12,8,Central,No,167.5,7.43,51.19,36,Female,2023-11,36-45
C17916,Sports,210.6,0.1,1,Credit Card,2023-09-15,4,South,No,189.54,9.21,47.65,66,Female,2023-09,
C10337,Fashion,118.71,0.0,1,COD,2025-02-04,3,North,No,118.71,6.57,34.98,61,Female,2025-02,56-65
C10878,Beauty,12.67,0.0,2,PayPal,2025-01-20,6,South,No,25.34,3.95,7.45,42,Male,2025-01,36-45
C11076,Grocery,11.77,0.2,1,COD,2025-04-06,7,East,No,9.42,1.0,-0.25,48,Female,2025-04,46-55
C14887,Electronics,537.39,0.15,1,PayPal,2024-02-16,4,Central,Yes,456.78,9.4,45.41,28,Female,2024-02,26-35
C13993,Grocery,4.84,0.0,1,COD,2023-11-18,6,South,No,4.84,1.46,-1.07,33,Female,2023-11,26-35
C16360,Toys,16.78,0.0,2,Credit Card,2024-10-02,4,South,Yes,33.56,5.18,8.24,34,Female,2024-10,26-35
C14859,Toys,10.98,0.0,1,Debit Card,2025-01-30,5,South,No,10.98,1.74,2.65,23,Female,2025-01,18-25
C16331,Sports,56.72,0.0,2,COD,2024-02-26,6,East,No,113.44,8.53,25.5,38,Male,2024-02,36-45
C10379,Toys,3.94,0.05,1,Credit Card,2025-06-09,5,Central,No,3.74,1.52,-0.02,62,Male,2025-06,56-65
C10492,Grocery,7.88,0.2,1,Credit Card,2025-02-12,7,South,No,6.3,2.16,-1.66,27,Female,2025-02,26-35
C17208,Toys,5.45,0.0,3,Wallet,2025-09-02,4,South,No,16.35,4.57,1.97,25,Female,2025-09,18-25
C15276,Fashion,22.63,0.1,1,Credit Card,2024-06-06,7,East,No,20.37,3.95,3.18,65,Male,2024-06,56-65
C12062,Beauty,12.82,0.0,1,Credit Card,2024-04-16,4,Central,No,12.82,3.74,2.03,18,Male,2024-04,18-25
C13884,Fashion,32.69,0.15,1,UPI,2024-07-16,6,South,No,27.79,7.19,2.54,21,Male,2024-07,18-25
C10064,Grocery,33.76,0.0,2,UPI,2024-07-26,6,South,No,67.52,5.44,-0.04,41,Female,2024-07,36-45
C12568,Grocery,14.13,0.0,2,COD,2025-05-13,5,Central,No,28.26,5.99,-3.73,58,Female,2025-05,56-65
C15463,Beauty,92.86,0.0,1,Credit Card,2025-04-03,5,South,No,92.86,7.23,34.56,51,Female,2025-04,46-55
C15248,Toys,19.57,0.05,1,PayPal,2024-08-06,6,South,No,18.59,5.17,2.27,40,Male,2024-08,36-45
C12027,Grocery,22.56,0.05,1,Debit Card,2023-11-21,3,North,No,21.43,5.71,-4.0,43,Female,2023-11,36-45
C12695,Fashion,93.34,0.05,2,UPI,2024-03-05,5,Central,No,177.35,6.54,55.53,46,Female,2024-03,46-55
C11495,Beauty,35.91,0.1,1,Debit Card,2023-12-19,5,North,No,32.32,5.16,9.38,49,Female,2023-12,46-55
C17230,Home,155.94,0.0,1,PayPal,2023-09-27,4,Central,No,155.94,7.4,36.26,43,Female,2023-09,36-45
C15258,Toys,12.64,0.1,2,PayPal,2025-02-13,7,North,No,22.75,4.33,4.77,52,Female,2025-02,46-55
C15618,Home,120.29,0.0,1,COD,2024-02-24,5,West,No,120.29,7.36,26.32,31,Male,2024-02,26-35
C16736,Sports,31.17,0.1,1,COD,2024-06-06,4,West,No,28.05,6.92,1.49,38,Female,2024-06,36-45
C10391,Home,136.79,0.1,1,Credit Card,2023-12-11,4,West,No,123.11,6.32,28.15,37,Female,2023-12,36-45
C15794,Electronics,284.7,0.0,1,Wallet,2024-10-16,6,North,No,284.7,9.1,25.06,50,Female,2024-10,46-55
C14514,Electronics,580.17,0.0,2,Debit Card,2025-02-20,4,West,No,1160.34,9.05,130.19,36,Female,2025-02,36-45
C16432,Electronics,806.71,0.0,4,UPI,2023-12-19,6,East,No,3226.84,11.85,375.37,19,Female,2023-12,18-25
C14474,Electronics,96.31,0.0,4,UPI,2024-12-04,7,East,No,385.24,9.61,36.62,38,Female,2024-12,36-45
C15892,Beauty,31.77,0.0,5,COD,2025-07-11,5,South,No,158.85,7.94,63.54,19,Female,2025-07,18-25
C13561,Sports,304.67,0.0,2,UPI,2025-07-05,5,South,No,609.34,9.29,173.51,58,Female,2025-07,56-65
C12278,Electronics,862.36,0.0,1,PayPal,2024-01-02,3,North,No,862.36,10.06,93.42,31,Female,2024-01,26-35
C17161,Beauty,47.06,0.05,1,Debit Card,2024-03-17,3,Central,No,44.71,5.76,14.36,24,Male,2024-03,18-25
C16184,Beauty,4.21,0.0,1,COD,2024-12-04,3,North,No,4.21,2.28,-0.39,25,Female,2024-12,18-25
C13099,Electronics,144.57,0.0,2,Debit Card,2024-11-14,3,North,No,289.14,8.7,26.0,63,Male,2024-11,56-65
C16278,Home,31.13,0.0,1,Credit Card,2023-09-18,3,North,No,31.13,3.29,5.43,28,Male,2023-09,26-35
C10200,Sports,267.28,0.2,1,PayPal,2025-02-28,4,Central,No,213.82,7.25,56.9,52,Male,2025-02,46-55
C15959,Electronics,499.11,0.05,1,Credit Card,2025-07-14,4,Central,No,474.15,8.66,48.24,45,Male,2025-07,36-45
C14875,Electronics,296.62,0.2,2,Wallet,2024-02-27,4,North,No,474.59,8.71,48.24,36,Female,2024-02,36-45
C17073,Grocery,52.12,0.0,1,COD,2025-07-09,4,South,No,52.12,6.56,-2.39,50,Female,2025-07,46-55
C13104,Sports,31.3,0.0,1,Credit Card,2024-01-01,4,West,No,31.3,4.71,4.68,32,Male,2024-01,26-35
C17215,Home,145.09,0.1,1,Debit Card,2024-11-10,3,Central,No,130.58,8.51,28.05,38,Male,2024-11,36-45
C14598,Beauty,26.03,0.0,1,Debit Card,2024-04-08,4,West,No,26.03,7.52,4.19,44,Male,2024-04,36-45
C12454,Toys,10.19,0.2,1,Credit Card,2024-02-12,6,West,No,8.15,3.7,-0.44,21,Male,2024-02,18-25
C13645,Toys,15.07,0.0,3,UPI,2024-09-09,3,Central,No,45.21,6.94,11.14,26,Male,2024-09,26-35
C15847,Fashion,18.2,0.05,2,PayPal,2025-04-26,6,West,No,34.58,5.84,6.26,22,Female,2025-04,18-25
C10804,Home,158.84,0.1,1,Credit Card,2023-10-15,4,West,No,142.96,6.88,33.15,67,Female,2023-10,
C16242,Beauty,16.27,0.0,2,Debit Card,2025-07-18,5,South,No,32.54,4.52,10.12,39,Female,2025-07,36-45
C12731,Electronics,57.75,0.0,1,UPI,2024-04-09,6,West,No,57.75,6.46,0.47,24,Male,2024-04,18-25
C15991,Grocery,40.65,0.0,1,PayPal,2025-09-03,3,Central,No,40.65,4.89,-1.64,42,Female,2025-09,36-45
C12773,Home,101.64,0.05,2,Wallet,2024-09-10,6,East,No,193.12,8.34,45.73,51,Female,2024-09,46-55
C11570,Home,171.02,0.0,1,UPI,2025-07-27,3,Central,No,171.02,8.52,39.37,43,Male,2025-07,36-45
C15056,Grocery,3.89,0.05,2,UPI,2024-08-09,4,Central,No,7.39,4.18,-3.59,55,Female,2024-08,46-55
C17906,Electronics,94.23,0.0,2,Debit Card,2023-09-27,6,East,No,188.46,6.66,15.96,20,Male,2023-09,18-25
C16756,Electronics,806.31,0.1,3,Credit Card,2025-09-06,6,South,No,2177.04,9.81,251.43,45,Male,2025-09,36-45
C15581,Sports,97.9,0.05,1,UPI,2025-07-31,3,North,No,93.0,7.45,20.45,50,Female,2025-07,46-55
C12690,Home,99.52,0.0,1,UPI,2024-02-02,7,West,No,99.52,8.19,19.68,50,Male,2024-02,46-55
C13840,Toys,16.48,0.0,1,UPI,2023-12-28,8,East,No,16.48,3.97,2.62,54,Female,2023-12,46-55
C11028,Electronics,137.57,0.0,1,Wallet,2025-04-05,5,West,No,137.57,8.34,8.17,39,Female,2025-04,36-45
C17385,Home,331.04,0.0,1,Credit Card,2024-02-03,4,North,No,331.04,6.99,85.7,34,Female,2024-02,26-35
C10502,Fashion,16.85,0.0,2,PayPal,2024-11-05,6,West,No,33.7,3.4,8.4,67,Female,2024-11,
C16910,Sports,26.91,0.0,1,Debit Card,2024-11-13,4,North,No,26.91,2.99,5.08,37,Female,2024-11,36-45
C14493,Fashion,135.78,0.1,1,COD,2024-11-10,5,East,No,122.2,8.48,34.29,45,Male,2024-11,36-45
C10870,Home,49.21,0.0,1,Credit Card,2024-10-08,5,West,No,49.21,5.29,8.49,64,Female,2024-10,56-65
C16938,Toys,41.02,0.0,2,Debit Card,2025-01-24,4,North,No,82.04,6.87,25.95,45,Male,2025-01,36-45
C14488,Grocery,20.5,0.0,2,COD,2024-06-12,6,East,No,41.0,5.35,-2.07,40,Female,2024-06,36-45
C10206,Sports,57.32,0.0,1,Credit Card,2024-03-13,3,Central,No,57.32,7.37,9.83,56,Female,2024-03,56-65
C15134,Home,48.58,0.0,2,Wallet,2023-11-04,3,North,No,97.16,7.6,19.6,46,Female,2023-11,46-55
C15977,Beauty,37.86,0.0,1,Credit Card,2024-09-14,4,North,No,37.86,5.8,11.24,66,Female,2024-09,
C17721,Sports,99.51,0.05,2,Credit Card,2025-04-08,3,North,No,189.07,8.19,48.53,22,Male,2025-04,18-25
C17035,Toys,7.76,0.05,1,PayPal,2024-12-31,5,West,No,7.37,3.72,-0.77,55,Female,2024-12,46-55
C11484,Grocery,30.17,0.15,1,Credit Card,2024-04-10,5,East,No,25.64,4.28,-2.23,29,Male,2024-04,26-35
C17858,Grocery,17.81,0.2,1,Debit Card,2023-12-18,5,Central,No,14.25,4.86,-3.72,62,Male,2023-12,56-65
C17742,Toys,49.2,0.0,1,Credit Card,2024-08-10,6,West,No,49.2,6.38,13.3,44,Female,2024-08,36-45
C10863,Electronics,236.98,0.0,1,UPI,2025-08-01,4,South,No,236.98,8.56,19.88,63,Male,2025-08,56-65
C12790,Sports,23.49,0.0,1,Credit Card,2025-01-24,4,West,No,23.49,4.42,2.63,42,Male,2025-01,36-45
C17408,Toys,52.7,0.0,1,Credit Card,2025-06-30,5,West,No,52.7,7.0,14.08,35,Male,2025-06,26-35
C10563,Toys,20.09,0.05,3,Credit Card,2025-05-24,6,East,No,57.26,7.4,15.5,32,Male,2025-05,26-35
C15116,Grocery,13.27,0.0,4,COD,2025-07-23,5,Central,No,53.08,4.7,-0.45,40,Male,2025-07,36-45
C14191,Home,125.56,0.0,1,UPI,2024-11-22,5,North,No,125.56,7.14,28.02,21,Male,2024-11,18-25
C16019,Sports,72.87,0.0,1,Debit Card,2023-10-13,6,East,No,72.87,7.84,14.02,18,Female,2023-10,18-25
C11757,Electronics,145.69,0.0,2,Credit Card,2025-04-18,7,Central,No,291.38,8.39,26.58,41,Female,2025-04,36-45
C16628,Beauty,26.26,0.2,1,Debit Card,2024-12-16,5,South,No,21.01,4.51,4.94,24,Male,2024-12,18-25
C17574,Home,176.95,0.2,1,Wallet,2024-01-03,6,East,No,141.56,7.16,32.48,18,Female,2024-01,18-25
C16374,Grocery,33.7,0.0,1,COD,2024-09-25,5,East,No,33.7,6.42,-3.72,36,Male,2024-09,36-45
C16892,Grocery,1.99,0.0,4,Debit Card,2025-04-21,4,Central,No,7.96,1.92,-1.28,25,Male,2025-04,18-25
C11678,Toys,7.78,0.05,1,Debit Card,2024-06-23,3,North,No,7.39,1.92,1.04,65,Male,2024-06,56-65
C13242,Electronics,537.23,0.0,1,COD,2023-09-16,3,North,No,537.23,9.75,54.72,68,Female,2023-09,
C14636,Home,206.49,0.0,1,Credit Card,2024-11-08,7,East,No,206.49,10.12,47.7,35,Male,2024-11,26-35
C11059,Sports,33.43,0.0,1,Credit Card,2023-12-22,5,North,No,33.43,6.41,3.62,36,Female,2023-12,36-45
C16668,Electronics,116.37,0.05,3,UPI,2023-12-28,8,East,No,331.65,8.23,31.57,56,Male,2023-12,56-65
C15279,Fashion,27.49,0.0,2,UPI,2023-12-22,6,East,No,54.98,6.08,13.16,59,Male,2023-12,56-65
C11722,Grocery,1.86,0.0,2,Credit Card,2024-05-06,3,Central,No,3.72,3.06,-2.76,32,Male,2024-05,26-35
C13314,Electronics,475.97,0.0,1,Credit Card,2025-01-14,4,West,No,475.97,7.92,49.2,18,Male,2025-01,18-25
C13157,Electronics,410.13,0.0,1,Debit Card,2024-05-11,4,North,No,410.13,8.95,40.27,48,Female,2024-05,46-55
C15915,Beauty,50.95,0.3,1,Debit Card,2024-05-16,6,East,No,35.66,6.4,9.65,24,Female,2024-05,18-25
C12625,Grocery,8.4,0.05,5,UPI,2024-02-03,4,South,No,39.9,6.54,-3.35,39,Male,2024-02,36-45
C12729,Toys,21.91,0.0,1,Debit Card,2025-05-21,4,North,No,21.91,3.83,4.93,48,Male,2025-05,46-55
